',SMQ800,':',"During the past 5 days, including today, on how many days did {you/he/she} use chewing tobacco, such as Redman, Levi Garrett or Beechnut?",,"',","'SMQ800':'During the past 5 days, including today, on how many days did {you/he/she} use chewing tobacco, such as Redman, Levi Garrett or Beechnut?',"
',SMQ817,':',"During the past 5 days, including today, on how many days did {you/he/she} use snuff, such as Skoal, Skoal Bandits, or Copenhagen?",,"',","'SMQ817':'During the past 5 days, including today, on how many days did {you/he/she} use snuff, such as Skoal, Skoal Bandits, or Copenhagen?',"
',SMQ857,':',"During the past 5 days, including today, on how many days did {you/he/she} use snus?",,"',","'SMQ857':'During the past 5 days, including today, on how many days did {you/he/she} use snus?',"
',SMQ861,':',"During the past 5 days, including today, on how many days did {you/he/she} use dissolvables such as strips or orbs?",,"',","'SMQ861':'During the past 5 days, including today, on how many days did {you/he/she} use dissolvables such as strips or orbs?',"
',SMQ863,':',"During the past 5 days, including today, did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?",,"',","'SMQ863':'During the past 5 days, including today, did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?',"
',SMQ830,':',"During the past 5 days, including today, on how many days did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?",,"',","'SMQ830':'During the past 5 days, including today, on how many days did {you/he/she} use any nicotine replacement therapy products such as nicotine patches, gum, lozenges, inhalers, or nasal sprays?',"
',SMQ840,':',When did {you/he/she} last use a nicotine replacement therapy product? Was it . . .,,"',","'SMQ840':'When did {you/he/she} last use a nicotine replacement therapy product? Was it . . .',"
',SMDANY,':',Used any tobacco product last 5 days?,,"',","'SMDANY':'Used any tobacco product last 5 days?',"
',SMAQUEX,':',Questionnaire Mode Flag.,,"',","'SMAQUEX':'Questionnaire Mode Flag.',"
',SMQ856,':',"I will now ask you about tobacco smoke in other places. During the last 7 days, {were you/was SP} working at a job or business outside of the home?",,"',","'SMQ856':'I will now ask you about tobacco smoke in other places. During the last 7 days, {were you/was SP} working at a job or business outside of the home?',"
',SMQ858,':',"While {you were/SP was} working at a job or business outside of the home, did someone else smoke cigarettes or other tobacco products indoors?",,"',","'SMQ858':'While {you were/SP was} working at a job or business outside of the home, did someone else smoke cigarettes or other tobacco products indoors?',"
',SMQ860,':',"{I will now ask you about smoking in other places.} During the last 7 days, did {you/SP} spend time in a restaurant?",,"',","'SMQ860':'{I will now ask you about smoking in other places.} During the last 7 days, did {you/SP} spend time in a restaurant?',"
',SMQ862,':',"While {you were/SP was} in a restaurant, did someone else smoke cigarettes or other tobacco products indoors?",,"',","'SMQ862':'While {you were/SP was} in a restaurant, did someone else smoke cigarettes or other tobacco products indoors?',"
',SMQ866,':',"During the last 7 days, {did you/SP} spend time in a bar?",,"',","'SMQ866':'During the last 7 days, {did you/SP} spend time in a bar?',"
',SMQ868,':',"While {you were/SP was} in a bar, did someone else smoke cigarettes or other tobacco products indoors?",,"',","'SMQ868':'While {you were/SP was} in a bar, did someone else smoke cigarettes or other tobacco products indoors?',"
',SMQ870,':',"During the last 7 days, did {you/SP} ride in a car or motor vehicle?",,"',","'SMQ870':'During the last 7 days, did {you/SP} ride in a car or motor vehicle?',"
',SMQ872,':',"While {you were/SP was} riding in a car or motor vehicle, did someone else smoke cigarettes or other tobacco products?",,"',","'SMQ872':'While {you were/SP was} riding in a car or motor vehicle, did someone else smoke cigarettes or other tobacco products?',"
',SMQ874,':',"During the last 7 days, did {you/SP} spend time in a home other than {your/his/her} own?",,"',","'SMQ874':'During the last 7 days, did {you/SP} spend time in a home other than {your/his/her} own?',"
',SMQ876,':',"While {you were/SP was} in a home other than {your/his/her} own, did someone else smoke cigarettes or other tobacco products indoors?",,"',","'SMQ876':'While {you were/SP was} in a home other than {your/his/her} own, did someone else smoke cigarettes or other tobacco products indoors?',"
',SMQ878,':',"During the last 7 days,{were you/was SP} in any other indoor area?",,"',","'SMQ878':'During the last 7 days,{were you/was SP} in any other indoor area?',"
',SMQ880,':',"While {you were/SP was} in the other indoor area, did someone else smoke cigarettes or other tobacco products?",,"',","'SMQ880':'While {you were/SP was} in the other indoor area, did someone else smoke cigarettes or other tobacco products?',"
',CSQ010,':',"The next questions are about {your/SP's} sense of smell. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to smell, such as not being able to smell things or things not smelling the way they are supposed to?",,"',","'CSQ010':'The next questions are about {your/SP's} sense of smell. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to smell, such as not being able to smell things or things not smelling the way they are supposed to?',"
',CSQ020,':',"How would {you/SP} rate {your/his/her} ability to smell now as compared to when {you were/he was/she was} 25 years old? Is it better, worse or is there no change?",,"',","'CSQ020':'How would {you/SP} rate {your/his/her} ability to smell now as compared to when {you were/he was/she was} 25 years old? Is it better, worse or is there no change?',"
',CSQ030,':',Do some smells bother {you/SP} although they do not bother other people?,,"',","'CSQ030':'Do some smells bother {you/SP} although they do not bother other people?',"
',CSQ040,':',"{Do you/Does SP} sometimes smell an unpleasant, bad or burning odor when nothing is there?",,"',","'CSQ040':'{Do you/Does SP} sometimes smell an unpleasant, bad or burning odor when nothing is there?',"
',CSQ060,':',"How long ago {did you/did SP} first notice a problem with, or a change in, {your/his/her} ability to smell?",,"',","'CSQ060':'How long ago {did you/did SP} first notice a problem with, or a change in, {your/his/her} ability to smell?',"
',CSQ070,':',Is the problem with {your/SP's} ability to smell always there or does it come and go?,,"',","'CSQ070':'Is the problem with {your/SP's} ability to smell always there or does it come and go?',"
',CSQ080,':',"The next questions are about {your/SP's} sense of taste. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to taste sweet, sour, salty or bitter foods and drinks?",,"',","'CSQ080':'The next questions are about {your/SP's} sense of taste. During the past 12 months, {have you/has he/has she} had a problem with {your/his/her} ability to taste sweet, sour, salty or bitter foods and drinks?',"
',CSQ090A,':',"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change? salt in foods like potato chips or pretzels.",,"',","'CSQ090A':'I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change? salt in foods like potato chips or pretzels.',"
',CSQ090B,':',"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change? sourness in foods like lemons or vinegar.",,"',","'CSQ090B':'I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change? sourness in foods like lemons or vinegar.',"
',CSQ090C,':',"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change? sweetness in foods like peaches or ice cream.",,"',","'CSQ090C':'I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change? sweetness in foods like peaches or ice cream.',"
',CSQ090D,':',"I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change? bitterness in drinks like unsweetened black coffee.",,"',","'CSQ090D':'I am going to read you a list of tastes in everyday foods. How {is your/is SP's} ability to taste each one of these now compared to when {you were/he was/she was} 25 years old? Would you say it is better, worse, or is there no change? bitterness in drinks like unsweetened black coffee.',"
',CSQ100,':',"Is {your/SP's} ability to taste food flavors such as chocolate, vanilla or strawberry as good as when {you were/he was/she was} 25 years old?",,"',","'CSQ100':'Is {your/SP's} ability to taste food flavors such as chocolate, vanilla or strawberry as good as when {you were/he was/she was} 25 years old?',"
',CSQ110,':',During the past 12 months {have you/has SP} had a taste or other sensation in {your/his/her} mouth that does not go away?,,"',","'CSQ110':'During the past 12 months {have you/has SP} had a taste or other sensation in {your/his/her} mouth that does not go away?',"
',CSQ120A,':',Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...,,"',","'CSQ120A':'Please describe the taste or other sensation in {your/SP's} mouth that does not go away. Would {you/he/she} say it is...',"
